District,State/UT,Population Age 15+ (%),Population Age 45+ (%),Women Overweight or Obese (%) [BMI>=25.0],Men Overweight or Obese (%) [BMI>=25.0],Women Underweight (%) [BMI<18.5],Men Underweight (%) [BMI<18.5],Women Hypertensive (%) [SBP>=140 mmHg OR DBP>=90mmHg],Men Hypertensive (%) [SBP>=140 mmHg OR DBP>=90mmHg],Women High Glucose [BG>140mg/dl OR medicated],Men High Glucose [BG>140mg/dl OR medicated],Women Substantially Increased Risk of Metabolic Complications (%) [waist>88cm],Men Substantially Increased Risk of Metabolic Complications (%) [waist>102cm],TB Prevalence (%),Population in Highest Wealth Quintile (%),Households with Health Insurance / Financing Scheme Coverage (%)
Uttar Dinajpur ,West Bengal,70.52,19.26,22.7,16.2,14.8,15.1,16.3,23.8,17.5,21.3,22.4,1.3,0.239,7,21
Dakshin Dinajpur ,West Bengal,73.08,21.52,22.7,16.2,14.8,15.1,17.6,16.2,17.5,21.3,22.4,1.3,0.239,7,28.3
Maldah ,West Bengal,71.18,19.68,22.7,16.2,14.8,15.1,19.3,17.8,17.5,21.3,22.4,1.3,0.239,7,29
Murshidabad ,West Bengal,73.13,21.43,22.7,16.2,14.8,15.1,18.7,16.3,17.5,21.3,22.4,1.3,0.239,7,28.4
Birbhum ,West Bengal,74.23,22.47,22.7,16.2,14.8,15.1,17.5,14.1,17.5,21.3,22.4,1.3,0.239,7,37.7
Nadia ,West Bengal,74.79,22.84,22.7,16.2,14.8,15.1,21.2,16,17.5,21.3,22.4,1.3,0.239,7,23
North Twenty Four Pargana ,West Bengal,78.23,25.24,22.7,16.2,14.8,15.1,19,17.1,17.5,21.3,22.4,1.3,0.239,7,30.7
Hugli ,West Bengal,76.96,24.77,22.7,16.2,14.8,15.1,24.1,26.7,17.5,21.3,22.4,1.3,0.239,7,26.5
Bankura ,West Bengal,74.33,22.42,22.7,16.2,14.8,15.1,21,20.3,17.5,21.3,22.4,1.3,0.239,7,43.4
Puruliya ,West Bengal,72.99,21.18,22.7,16.2,14.8,15.1,17.5,20.4,17.5,21.3,22.4,1.3,0.239,7,35.6
Haora ,West Bengal,78.58,25.75,22.7,16.2,14.8,15.1,24,26.8,17.5,21.3,22.4,1.3,0.239,7,20.1
Kolkata ,West Bengal,81.42,26.47,22.7,16.2,14.8,15.1,23.9,23.8,17.5,21.3,22.4,1.3,0.239,7,21.1
South Twenty Four Pargana ,West Bengal,75.87,22.75,22.7,16.2,14.8,15.1,21.5,19.1,17.5,21.3,22.4,1.3,0.239,7,36.7
Paschim Medinipur ,West Bengal,74.73,22.74,22.7,16.2,14.8,15.1,19.3,19,17.5,21.3,22.4,1.3,0.239,7,25.8
Purba Medinipur ,West Bengal,76.77,24.97,22.7,16.2,14.8,15.1,18.1,21.3,17.5,21.3,22.4,1.3,0.239,7,21.5
Paschim Barddhaman ,West Bengal,76.56,23.95,22.7,16.2,14.8,15.1,17.6,20.7,17.5,21.3,22.4,1.3,0.239,7,21.8
Purba Barddhaman ,West Bengal,75.4,23.34,22.7,16.2,14.8,15.1,21.2,18.4,17.5,21.3,22.4,1.3,0.239,7,37.2
,,,,,,14.8,15.1,,,17.5,21.3,22.4,1.3,0.239,7,
